sampleid	shannon_entropy	observed_features	faith_pd	orig_ID	location	sex	age	BCS	min_to_collect	Vehic	Vehic_cat	Vehic_1	Vehic_2	Month	Month_order	Rain
2177-097-M081-EMAX-SL-24-RV	8.180220439	959	79.9188032	M081	Minneriya	F	Adult	3	70	24	avg	24	49	September	5_September	23.99999988
2177-098-M082-EMAX-SL-24-RV	8.552553069	1054	89.83736195	M082	Minneriya	F	Juvenile	3	47	24	avg	24	49	September	5_September	23.99999988
2177-099-M083-EMAX-SL-24-RV	8.362752639	1015	70.85620398	M083	Minneriya	F	Adult	3	5	24	avg	24	49	September	5_September	23.99999988
2177-100-K019-EMAX-SL-24-RV	7.745899045	840	64.58566298	K019	Kaudulla	F	Adult	2	131	38	avg	20	23	September	5_September	23.99999988
2177-102-M084-EMAX-SL-24-RV	8.005320253	931	63.48076549	M084	Minneriya	F	Juvenile	3	29	51	avg	38	20	September	5_September	23.99999988
2177-103-M085-EMAX-SL-24-RV	8.400954166	1021	64.02785786	M085	Minneriya	F	Juvenile	3	29	51	avg	38	20	September	5_September	23.99999988
2177-104-M086-EMAX-SL-24-RV	7.616460926	817	65.10431066	M086	Minneriya	F	Juvenile	3	53	51	avg	38	20	September	5_September	23.99999988
2177-105-M087-EMAX-SL-24-RV	8.472344084	1040	66.39016978	M087	Minneriya	F	Adult	3	40	59	avg	51	38	September	5_September	23.99999988
2177-106-M088-EMAX-SL-24-RV	8.575308161	1067	92.74111676	M088	Minneriya	M	Juvenile	3	117	109	high	130	163	September	5_September	23.99999988
2177-107-M089-EMAX-SL-24-RV	6.996106245	728	65.1817852	M089	Minneriya	F	Adult	3	113	109	high	130	163	September	5_September	23.99999988
2177-109-M090-EMAX-SL-24-RV	8.708322697	1237	71.84113288	M090	Minneriya	F	Adult	3	21	137	high	109	130	September	5_September	23.99999988
2177-110-M091-EMAX-SL-24-RV	7.809756699	986	64.75023564	M091	Minneriya	F	Adult	3	16	137	high	109	130	September	5_September	23.99999988
