sampleid	orig_ID	location	sex	age	BCS	min_to_collect	Vehic	Vehic_cat	Vehic_1	Vehic_2	Month	Monthprior	Weekprior	Monthpriorcat	Weekpriorcat	Twodayprior	Twodaypriorcat	Season	Season2	Rain	Month
2177-092-M077-EMAX-SL-24-RV	M077	Minneriya	F	Adult	3	27	51	avg	33	22	September	34.93333333	21.71428571	avg	avg	27.5	avg	Dry	Intermediate	23.99999988	5
2177-093-M078-EMAX-SL-24-RV	M078	Minneriya	F	Juvenile	3	52	51	avg	33	22	September	34.93333333	21.71428571	avg	avg	27.5	avg	Dry	Intermediate	23.99999988	5
2177-094-M079-EMAX-SL-24-RV	M079	Minneriya	M	Juvenile	4	55	106	high	51	33	September	34.6	25.85714286	avg	avg	42	avg	Dry	Intermediate	23.99999988	5
2177-095-M080-EMAX-SL-24-RV	M080	Minneriya	F	Adult	3	18	106	high	51	33	September	34.6	25.85714286	avg	avg	42	avg	Dry	Intermediate	23.99999988	5
2177-097-M081-EMAX-SL-24-RV	M081	Minneriya	F	Adult	3	70	24	avg	24	49	September	39.83333333	79.28571429	avg	high	36.5	avg	Dry	Intermediate	23.99999988	5
2177-098-M082-EMAX-SL-24-RV	M082	Minneriya	F	Juvenile	3	47	24	avg	24	49	September	39.83333333	79.28571429	avg	high	36.5	avg	Dry	Intermediate	23.99999988	5
2177-099-M083-EMAX-SL-24-RV	M083	Minneriya	F	Adult	3	5	24	avg	24	49	September	39.83333333	79.28571429	avg	high	36.5	avg	Dry	Intermediate	23.99999988	5
2177-100-K019-EMAX-SL-24-RV	K019	Kaudulla	F	Adult	2	131	38	avg	20	23	September	37.7	33.71428571	avg	avg	21.5	avg	Dry	Intermediate	23.99999988	5
2177-102-M084-EMAX-SL-24-RV	M084	Minneriya	F	Juvenile	3	29	51	avg	38	20	September	38.23333333	34.71428571	avg	avg	29	avg	Dry	Intermediate	23.99999988	5
2177-103-M085-EMAX-SL-24-RV	M085	Minneriya	F	Juvenile	3	29	51	avg	38	20	September	38.23333333	34.71428571	avg	avg	29	avg	Dry	Intermediate	23.99999988	5
2177-104-M086-EMAX-SL-24-RV	M086	Minneriya	F	Juvenile	3	53	51	avg	38	20	September	38.23333333	34.71428571	avg	avg	29	avg	Dry	Intermediate	23.99999988	5
2177-105-M087-EMAX-SL-24-RV	M087	Minneriya	F	Adult	3	40	59	avg	51	38	September	39	32.71428571	avg	avg	44.5	avg	Dry	Intermediate	23.99999988	5
2177-106-M088-EMAX-SL-24-RV	M088	Minneriya	M	Juvenile	3	117	109	high	130	163	September	71.76666667	157.4285714	high	high	146.5	high	Dry	Intermediate	23.99999988	5
2177-107-M089-EMAX-SL-24-RV	M089	Minneriya	F	Adult	3	113	109	high	130	163	September	71.76666667	157.4285714	high	high	146.5	high	Dry	Intermediate	23.99999988	5
2177-109-M090-EMAX-SL-24-RV	M090	Minneriya	F	Adult	3	21	137	high	109	130	September	74.66666667	150	high	high	119.5	high	Dry	Intermediate	23.99999988	5
2177-110-M091-EMAX-SL-24-RV	M091	Minneriya	F	Adult	3	16	137	high	109	130	September	74.66666667	150	high	high	119.5	high	Dry	Intermediate	23.99999988	5
2177-111-M092-EMAX-SL-24-RV	M092	Minneriya	F	Adult	3	120	137	high	109	130	September	74.66666667	150	high	high	119.5	high	Dry	Intermediate	23.99999988	5
2177-112-M093-EMAX-SL-24-RV	M093	Minneriya	F	Adult	3	86	246	high	137	109	September	78.5	147	high	high	123	high	Dry	Intermediate	23.99999988	5
2177-113-M094-EMAX-SL-24-RV	M094	Minneriya	F	Adult	3	15	246	high	137	109	September	78.5	147	high	high	123	high	Dry	Intermediate	23.99999988	5
2177-114-K020-EMAX-SL-24-RV	K020	Kaudulla	F	Adult	3	12	9	low	19	14	October	96.93333333	26.57142857	high	avg	16.5	avg	Rainy	Rainy	395.9000061	6
2177-115-K021-EMAX-SL-24-RV	K021	Kaudulla	F	Adult	3	43	1	low	6	9	October	94.23333333	11.85714286	high	low	7.5	low	Rainy	Rainy	395.9000061	6
2177-116-K023-EMAX-SL-24-RV	K023	Kaudulla	F	Juvenile	3	23	1	low	1	6	October	92.63333333	9.714285714	high	low	3.5	low	Rainy	Rainy	395.9000061	6
2177-118-K024-EMAX-SL-24-RV	K024	Kaudulla	F	Adult	3	5	0	low	1	1	October	91.86666667	8.571428571	high	low	1	low	Rainy	Rainy	395.9000061	6
2177-119-K025-EMAX-SL-24-RV	K025	Kaudulla	F	Adult	3	10	0	low	1	1	October	91.86666667	8.571428571	high	low	1	low	Rainy	Rainy	395.9000061	6
2177-120-K026-EMAX-SL-24-RV	K026	Kaudulla	F	Adult	3	100	3	low	0	1	October	91.06666667	7.142857143	high	low	0.5	low	Rainy	Rainy	395.9000061	6
2177-121-K027-EMAX-SL-24-RV	K027	Kaudulla	M	Adult	3	44	7	low	3	0	October	90.4	5.571428571	high	low	1.5	low	Rainy	Rainy	395.9000061	6
2177-122-K028-EMAX-SL-24-RV	K028	Kaudulla	F	Adult	3	14	7	low	1	5	October	68.8	3.714285714	high	low	3	low	Rainy	Rainy	395.9000061	6
2177-123-K029-EMAX-SL-24-RV	K029	Kaudulla	M	Adult	3	12	4	low	7	1	October	63.03333333	4.428571429	high	low	4	low	Rainy	Rainy	395.9000061	6
2177-125-K030-EMAX-SL-24-RV	K030	Kaudulla	F	Juvenile	3	13	8	low	3	4	October	52.1	4.285714286	avg	low	3.5	low	Rainy	Rainy	395.9000061	6
2177-126-K032-EMAX-SL-24-RV	K032	Kaudulla	F	Adult	3	5	9	low	19	14	October	96.93333333	26.57142857	high	avg	16.5	avg	Rainy	Rainy	395.9000061	6
2177-127-K032-EMAX-SL-24-RV	K032	Kaudulla	F	Adult	3	5	9	low	19	14	October	96.93333333	26.57142857	high	avg	16.5	avg	Rainy	Rainy	395.9000061	6
2177-129-M095-EMAX-SL-24-RV	M095	Minneriya	M	Adult	3	20	18	avg	20	20	November	7.733333333	16.85714286	low	avg	20	avg	Rainy	Rainy	382.5999978	7
2177-130-M096-EMAX-SL-24-RV	M096	Minneriya	M	Juvenile	3	20	20	avg	45	17	November	9.966666667	24.42857143	low	avg	31	avg	Rainy	Rainy	382.5999978	7
2177-131-M097-EMAX-SL-24-RV	M097	Minneriya	F	Adult	3	37	23	avg	24	20	November	10.83333333	23.42857143	low	avg	22	avg	Rainy	Rainy	382.5999978	7
2177-132-M098-EMAX-SL-24-RV	M098	Minneriya	M	Juvenile	3	22	24	avg	23	24	November	11.33333333	23.85714286	low	avg	23.5	avg	Rainy	Rainy	382.5999978	7
2177-133-M099-EMAX-SL-24-RV	M099	Minneriya	F	Adult	4	6	24	avg	23	24	November	11.33333333	23.85714286	low	avg	23.5	avg	Rainy	Rainy	382.5999978	7
2177-135-M100-EMAX-SL-24-RV	M100	Minneriya	F	Adult	3	14	3	low	3	3	December	17.16666667	6	avg	low	3	low	Rainy	Rainy	426.4000025	8
2177-136-M101-EMAX-SL-24-RV	M101	Minneriya	M	Adult	3	34	3	low	3	3	December	17.16666667	6	avg	low	3	low	Rainy	Rainy	426.4000025	8
2177-137-M102-EMAX-SL-24-RV	M102	Minneriya	F	Juvenile	3	50	3	low	3	3	December	17.16666667	6	avg	low	3	low	Rainy	Rainy	426.4000025	8
2177-138-M103-EMAX-SL-24-RV	M103	Minneriya	F	Juvenile	3	50	3	low	3	3	December	17.16666667	6	avg	low	3	low	Rainy	Rainy	426.4000025	8
2177-139-M022-2-EMAX-SL-24-RV	M022	Minneriya	M	Juvenile	4	41	72	high	96	113	June	38.86666667	79.85714286	avg	high	104.5	high	Dry	Dry	3.5	2
